pais;codigo;superficeTotal;porcenTierras agricolas;porcenPoblacionUrbana;consumoEnergiaElectrica;gastoPublicoEducaci¢n;investigadoresDedicados;PIBperCapita;esperanzaVidaHhombres;esperanzaVidaMujeres,
Chad;TCD;1284000;39.65613088;23.279;;2.454819918;57.89175;415727.4727;52.577;55.4,
Asia oriental y el Pac¡fico (BIRF y la AIF);TEA;16152595;49.01853648;56.50060225;3079.761906;3.165154934;1131.226224;;72.87457052;77.79935185,
Europa y Asia central (BIRF y la AIF);TEC;23842881.88;28.42722158;66.50093744;4230.835374;4.004815102;2007.97874;;70.18986608;78.07312608,
Togo;TGO;56790;70.2334988;42.248;154.6652373;5.369569778;48.05369;398003.6291;59.892;61.612,
Tailandia;THA;513120;43.27741784;50.692;2538.79638;;1350.34325;242380.6095;73.228;80.704,
Tayikist n;TJK;141380;34.13790619;27.309;1499.485086;;;8298.954041;68.727;73.177,
Turkmenist n;TKM;488100;72.00646905;52.048;2678.763514;;;24383.22394;64.603;71.584,
Am‚rica Latina y el Caribe (BIRF y la AIF);TLA;20290595.98;37.57095139;80.8943497;2170.564595;4.535510063;;;72.18002566;78.55553906,
Timor-Leste;TLS;14870;25.55480834;30.947;;6.792950153;;1560.509822;67.279;71.376,
Oriente Medio y Norte de µfrica (BIRF y la AIF);TMN;8769211.992;22.84352932;61.72639047;1702.842259;;857.6889477;;71.75578665;75.51477726,
Tonga;TON;750;45.83333333;23.107;;;;11139.47308;68.877;72.763,
Asia meridional (BIRF y la AIF);TSA;5135333.062;56.80628778;34.43189736;705.3184354;3.47919488;252.70392;;68.17590455;70.76419805,
µfrica al sur del Sahara (BIRF y la AIF);TSS;21754456;43.68570657;40.71277872;487.3277069;4.303765059;;;59.51942109;63.04052743,
Trinidad y Tobago;TTO;5130;10.52631579;53.187;7092.932612;;517.31899;117511.1882;70.751;76.092,
T£nez;TUN;163610;64.83650875;69.254;1454.642287;;1771.60777;9734.735824;74.493;78.536,
Turqu¡a;TUR;785350;49.79925419;75.63;2847.126383;;1379.41194;51782.4663;74.447;80.336,
Tuvalu;TUV;30;59.99999841;63.215;;;;5838.914649;;,
Tanzan¡a;TZA;947300;44.76179725;34.5;103.6833158;3.696439981;;2581428.882;63.17;66.824,
Uganda;UGA;241550;71.88809096;24.361;;2.130520105;;2968311.454;60.655;65.173,
Ucrania;UKR;603550;71.66531444;69.473;3418.569242;5.412260056;988.07663;94569.85969;66.69;76.72,
Ingreso mediano alto;UMC;59108024.84;35.89446917;66.35170688;3307.430471;4.09250021;1149.386741;;72.79044583;78.04073764,
Uruguay;URY;176220;82.55970523;95.426;3085.194419;5.047589779;696.37621;570789.4019;73.958;81.359,
Estados Unidos;USA;9831510;44.369068;82.459;12997.44863;;4412.43542;65297.51751;76.1;81.1,
Uzbekist n;UZB;447400;62.92900799;50.433;1645.441629;5.281340122;476.17883;15242054.58;69.445;73.676,
San Vicente y las Granadinas;VCT;390;25.64102564;52.614;;5.693779945;;20135.27566;70.182;75.007,
Venezuela;VEN;912050;24.48840769;88.24;2718.942775;;300.25538;;68.398;76.074,
Islas V¡rgenes Brit nicas;VGB;150;46.66666667;48.116;;2.465990067;;;;,
Islas V¡rgenes (EE.UU.);VIR;350;11.42857143;95.832;;;;35938.02439;76.3;83,
Viet Nam;VNM;331230;39.27500242;36.628;1423.688345;4.167449951;707.74357;62587768.92;71.207;79.442,
Vanuatu;VUT;12190;15.34044299;25.394;;4.533530235;;355940.0031;68.847;71.99,
Mundo;WLD;132025199.4;37.43073967;55.71471764;3131.710537;4.52916503;1410.830371;;70.39874268;74.87181466,
Samoa;WSM;2840;12.36749117;18.056;;4.162220001;;11320.2687;71.197;75.325,
Kosovo;XKX;10887;;;2818.337231;;;3945.732492;70;74.5,
Yemen, Rep. del;YEM;527970;44.5972309;37.273;219.7999224;;;432553.4672;64.418;67.795
